period,sectorId,sector-name,fuelId,fuel-name,stateId,state-name,value,value-units
2022,RC,Residential carbon dioxide emissions,CO,Coal,OH,Ohio,0,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,WY,Wyoming,.037564,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,WY,Wyoming,34.761544,million metric tons of CO2
2022,TC,Transportation carbon dioxide emissions,TO,All Fuels,WY,Wyoming,7.076144,million metric tons of CO2
2022,TC,Transportation carbon dioxide emissions,NG,Natural Gas,WY,Wyoming,.701344,million metric tons of CO2
2022,TC,Transportation carbon dioxide emissions,PE,Petroleum,WY,Wyoming,6.3748,million metric tons of CO2
2022,TC,Transportation carbon dioxide emissions,CO,Coal,WY,Wyoming,0,million metric tons of CO2
2022,IC,Industrial carbon dioxide emissions,TO,All Fuels,WY,Wyoming,11.704478,million metric tons of CO2
2022,IC,Industrial carbon dioxide emissions,NG,Natural Gas,WY,Wyoming,6.114604,million metric tons of CO2
2022,IC,Industrial carbon dioxide emissions,PE,Petroleum,WY,Wyoming,2.97866,million metric tons of CO2
2022,IC,Industrial carbon dioxide emissions,CO,Coal,WY,Wyoming,2.611213,million metric tons of CO2
2022,CC,Commercial carbon dioxide emissions,TO,All Fuels,WY,Wyoming,1.069203,million metric tons of CO2
2022,CC,Commercial carbon dioxide emissions,NG,Natural Gas,WY,Wyoming,.726622,million metric tons of CO2
2022,CC,Commercial carbon dioxide emissions,PE,Petroleum,WY,Wyoming,.323405,million metric tons of CO2
2022,CC,Commercial carbon dioxide emissions,CO,Coal,WY,Wyoming,.019176,million metric tons of CO2
2022,RC,Residential carbon dioxide emissions,TO,All Fuels,WY,Wyoming,.971492,million metric tons of CO2
2022,RC,Residential carbon dioxide emissions,NG,Natural Gas,WY,Wyoming,.752211,million metric tons of CO2
2022,RC,Residential carbon dioxide emissions,PE,Petroleum,WY,Wyoming,.219281,million metric tons of CO2
2022,RC,Residential carbon dioxide emissions,CO,Coal,WY,Wyoming,0,million metric tons of CO2
2022,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,US,United States,4934.407552,million metric tons of CO2
2022,TT,Total carbon dioxide emissions from all sectors,NG,Natural Gas,US,United States,1739.524469,million metric tons of CO2
2022,TT,Total carbon dioxide emissions from all sectors,PE,Petroleum,US,United States,2249.60113,million metric tons of CO2
2022,TT,Total carbon dioxide emissions from all sectors,CO,Coal,US,United States,945.281953,million metric tons of CO2
